,category,subcategory,skill
735,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Voting Rights
736,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Economic Policy
737,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Social Policy
738,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Impact Assessment
739,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Public Policies
740,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Animal Rights
741,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Policy Analysis
742,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Foreign Policies
743,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",External Affairs
744,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Lobbying
745,"Economics, Policy, and Social Studies","Policy Analysis, Research, and Development",Advocacy
746,"Economics, Policy, and Social Studies",Social Studies Subcategory,Anthropology
747,"Economics, Policy, and Social Studies",Social Studies Subcategory,Communication Studies
748,"Economics, Policy, and Social Studies",Social Studies Subcategory,Ethnography
749,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Progress
750,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Change
751,"Economics, Policy, and Social Studies",Social Studies Subcategory,Mind Mapping
752,"Economics, Policy, and Social Studies",Social Studies Subcategory,Political Sciences
753,"Economics, Policy, and Social Studies",Social Studies Subcategory,Human Relations Movement
754,"Economics, Policy, and Social Studies",Social Studies Subcategory,Historic Artifacts
755,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Justice
756,"Economics, Policy, and Social Studies",Social Studies Subcategory,Humanism
757,"Economics, Policy, and Social Studies",Social Studies Subcategory,Cultural Anthropology
758,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Issue
759,"Economics, Policy, and Social Studies",Social Studies Subcategory,World History
760,"Economics, Policy, and Social Studies",Social Studies Subcategory,Archaeology
761,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Sciences
762,"Economics, Policy, and Social Studies",Social Studies Subcategory,Cultural Geography
763,"Economics, Policy, and Social Studies",Social Studies Subcategory,Digital Humanities
764,"Economics, Policy, and Social Studies",Social Studies Subcategory,Gerontology
765,"Economics, Policy, and Social Studies",Social Studies Subcategory,United States History
766,"Economics, Policy, and Social Studies",Social Studies Subcategory,Folklore
767,"Economics, Policy, and Social Studies",Social Studies Subcategory,Visual Culture
768,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Theories
769,"Economics, Policy, and Social Studies",Social Studies Subcategory,Gender Studies
770,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Inequality
771,"Economics, Policy, and Social Studies",Social Studies Subcategory,Theory Of Change
772,"Economics, Policy, and Social Studies",Social Studies Subcategory,Population Dynamics
773,"Economics, Policy, and Social Studies",Social Studies Subcategory,Peacebuilding
774,"Economics, Policy, and Social Studies",Social Studies Subcategory,Civic Engagement
775,"Economics, Policy, and Social Studies",Social Studies Subcategory,Industrial And Organizational Psychology
776,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Studies
777,"Economics, Policy, and Social Studies",Social Studies Subcategory,Urbanization
778,"Economics, Policy, and Social Studies",Social Studies Subcategory,Applied Ethics
779,"Economics, Policy, and Social Studies",Social Studies Subcategory,Political Philosophy
780,"Economics, Policy, and Social Studies",Social Studies Subcategory,Limited Government
781,"Economics, Policy, and Social Studies",Social Studies Subcategory,Architectural History
782,"Economics, Policy, and Social Studies",Social Studies Subcategory,International Studies
783,"Economics, Policy, and Social Studies",Social Studies Subcategory,Cultural Exchange
784,"Economics, Policy, and Social Studies",Social Studies Subcategory,Environmental Justice
785,"Economics, Policy, and Social Studies",Social Studies Subcategory,Cultural Influences
786,"Economics, Policy, and Social Studies",Social Studies Subcategory,Social Research
787,"Economics, Policy, and Social Studies",Social Studies Subcategory,Sociology
788,"Economics, Policy, and Social Studies",Social Studies Subcategory,Cultural Studies
789,"Economics, Policy, and Social Studies",Social Studies Subcategory,Prehistory
790,"Economics, Policy, and Social Studies",Social Studies Subcategory,Cultural Diversity
791,"Economics, Policy, and Social Studies",Urban and Regional Planning,Community Design
792,"Economics, Policy, and Social Studies",Urban and Regional Planning,Land Use
793,"Economics, Policy, and Social Studies",Urban and Regional Planning,Community Management
794,"Economics, Policy, and Social Studies",Urban and Regional Planning,Regional Development
795,"Economics, Policy, and Social Studies",Urban and Regional Planning,Urban Transportation
796,"Economics, Policy, and Social Studies",Urban and Regional Planning,Urban Sustainability
797,"Economics, Policy, and Social Studies",Urban and Regional Planning,Urban Planning
798,"Economics, Policy, and Social Studies",Urban and Regional Planning,Urban Design
799,"Economics, Policy, and Social Studies",Urban and Regional Planning,Community Sustainability
800,"Economics, Policy, and Social Studies",Urban and Regional Planning,Urban Renewal
801,"Economics, Policy, and Social Studies",Urban and Regional Planning,Community Planning
802,Education and Training,Childhood Education and Development,Operant Conditioning
803,Education and Training,Childhood Education and Development,Early Intervention
804,Education and Training,Childhood Education and Development,Constructivism
805,Education and Training,Childhood Education and Development,Basic Reading
806,Education and Training,Childhood Education and Development,Arithmetic
807,Education and Training,Childhood Education and Development,Child Development
808,Education and Training,Childhood Education and Development,Preschool Education
809,Education and Training,Childhood Education and Development,Child Protection
810,Education and Training,Childhood Education and Development,Head Start (Education Program)
811,Education and Training,Childhood Education and Development,Social-Emotional Learning (SEL)
812,Education and Training,Coaching and Athletic Training,Physical Education
813,Education and Training,Coaching and Athletic Training,Life Coaching
814,Education and Training,Coaching and Athletic Training,Athletic Training
815,Education and Training,Coaching and Athletic Training,Body Composition Analysis
816,Education and Training,Education Administration,Educational Leadership
817,Education and Training,Education Administration,Education Policy
818,Education and Training,Education Administration,Academic Integrity
819,Education and Training,Education Administration,Educational Administration
820,Education and Training,Education Administration,Parent Communication
821,Education and Training,Education Administration,Student Development
822,Education and Training,Education Software and Technology,Virtual Learning Environments
823,Education and Training,Education Software and Technology,Articulate Storyline
824,Education and Training,Education Software and Technology,Adaptive Learning
825,Education and Training,Education Software and Technology,Adobe Captivate
826,Education and Training,Education Software and Technology,Learning Management Systems
827,Education and Training,Education Software and Technology,Assessment And Learning In Knowledge Spaces (ALEKS)
828,Education and Training,Education Software and Technology,Learning Platforms
829,Education and Training,Education Software and Technology,Digital Learning Technology
830,Education and Training,Higher Education Subcategory,European Quality Improvement Systems
831,Education and Training,Higher Education Subcategory,Higher Education
832,Education and Training,Instructional and Curriculum Design,Syllabus Development
833,Education and Training,Instructional and Curriculum Design,Learning Theory
834,Education and Training,Instructional and Curriculum Design,Curriculum Development
835,Education and Training,Instructional and Curriculum Design,Computational Thinking
836,Education and Training,Instructional and Curriculum Design,Independent Studies
837,Education and Training,Instructional and Curriculum Design,Interactive Learning
838,Education and Training,Instructional and Curriculum Design,Visual Impairment Education
839,Education and Training,Instructional and Curriculum Design,Arts Integration
840,Education and Training,Instructional and Curriculum Design,Blended Learning
841,Education and Training,Instructional and Curriculum Design,Online Course Development
842,Education and Training,Instructional and Curriculum Design,Data Driven Instruction
843,Education and Training,Instructional and Curriculum Design,Curriculum Planning
844,Education and Training,Instructional and Curriculum Design,Instructional Design
845,Education and Training,Instructional and Curriculum Design,Collaborative Learning
846,Education and Training,Instructional and Curriculum Design,Student-Centred Learning
847,Education and Training,Instructional and Curriculum Design,Integrative Learning
848,Education and Training,Instructional and Curriculum Design,Common Core Standards
849,Education and Training,Library and Archiving,Information Literacy
850,Education and Training,Library and Archiving,Text Classification
851,Education and Training,Library and Archiving,Reference Books
852,Education and Training,Library and Archiving,Exhibitions
853,Education and Training,Library and Archiving,Library Management
854,Education and Training,Library and Archiving,Museum Operations
855,Education and Training,Library and Archiving,Library
856,Education and Training,Library and Archiving,Curation
857,Education and Training,Library and Archiving,Museum Education
858,Education and Training,Library and Archiving,Archives
859,Education and Training,Program Management Subcategory,Program Management
860,Education and Training,Program Management Subcategory,Program Evaluation
861,Education and Training,Program Management Subcategory,Educational Research
862,Education and Training,Program Management Subcategory,Course Evaluations
863,Education and Training,Program Management Subcategory,Program Development
864,Education and Training,Program Management Subcategory,Program Process Monitoring
865,Education and Training,Special Education,Dyscalculia
866,Education and Training,Special Education,Learning Disabilities
867,Education and Training,Special Education,Dyslexia
868,Education and Training,Sports and Recreation,Kung Fu
869,Education and Training,Sports and Recreation,Sports Management
870,Education and Training,Sports and Recreation,eSports
871,Education and Training,Sports and Recreation,Physical Exercises
872,Education and Training,Sports and Recreation,Minecraft
873,Education and Training,Student Support and Services,Student Services
874,Education and Training,Student Support and Services,Learning Support
875,Education and Training,Student Support and Services,Vocational Guidance
876,Education and Training,Teaching Subcategory,Pedagogy
877,Education and Training,Teaching Subcategory,Formative And Summative Assessments
878,Education and Training,Teaching Subcategory,Distance Learning
879,Education and Training,Teaching Subcategory,Flipped Classroom Model
880,Education and Training,Teaching Subcategory,Music Education
881,Education and Training,Teaching Subcategory,Human Development
882,Education and Training,Teaching Subcategory,Self-Directed Learning
883,Education and Training,Teaching Subcategory,Vocabulary Development
884,Education and Training,Teaching Subcategory,Guided Reading
885,Education and Training,Teaching Subcategory,Mathematics Education
886,Education and Training,Teaching Subcategory,Elementary Algebra
887,Education and Training,Teaching Subcategory,Virtual Classroom
888,Education and Training,Teaching Subcategory,Instructional Strategies
889,Education and Training,Teaching Subcategory,Learning Strategies
890,Education and Training,Teaching Subcategory,Lesson Planning
891,Education and Training,Teaching Subcategory,Academic Standards
892,Education and Training,Teaching Subcategory,Teaching
893,Education and Training,Teaching Subcategory,Secondary Education
894,Education and Training,Teaching Subcategory,Precalculus
895,Education and Training,Teaching Subcategory,Lecturing
896,Education and Training,Teaching Subcategory,Reading Instruction
897,Education and Training,Teaching Subcategory,Cooperative Learning
898,Education and Training,Teaching Subcategory,Classroom Management
899,Education and Training,Teaching Subcategory,Science Education
900,Education and Training,Teaching Subcategory,Student Engagement
901,Education and Training,Teaching Subcategory,Experiential Learning
902,Education and Training,Teaching Subcategory,Online Teaching
903,Education and Training,Teaching Subcategory,Mentorship
904,Education and Training,Training Programs,Tutorials
905,Education and Training,Training Programs,International Education
906,Education and Training,Training Programs,Nurse Education
907,Education and Training,Training Programs,Adult Education
908,Education and Training,Training Programs,Faculty Development
909,Education and Training,Training Programs,Technical Training
910,Education and Training,Training Programs,Teacher Education
911,Education and Training,Training Programs,Continuing Medical Education
912,Energy and Utilities,Clean Energy,Geothermal Energy
913,Energy and Utilities,Clean Energy,Renewable Energy
914,Energy and Utilities,Clean Energy,Biomass
915,Energy and Utilities,Clean Energy,Renewable Energy Systems
916,Energy and Utilities,Clean Energy,Alternative Fuels
917,Energy and Utilities,Electrical Power,Electric Power Transmission
918,Energy and Utilities,Electrical Power,Battery Technology
919,Energy and Utilities,Electrical Power,Voltage
920,Energy and Utilities,Electrical Power,Load Management
921,Energy and Utilities,Electrical Power,Distributed Generation
922,Energy and Utilities,Electrical Power,Electric Power Systems
923,Energy and Utilities,Electrical Power,Electric Power Distribution
924,Energy and Utilities,Electrical Power,Direct Current
925,Energy and Utilities,Electrical Power,National Electrical Safety Code
926,Energy and Utilities,Electrical Power,Power Distribution
927,Energy and Utilities,Electrical Power,Alternating Current
928,Energy and Utilities,Energy Efficiency,Renewable Portfolio Standard
929,Energy and Utilities,Energy Efficiency,Energy Conservation
930,Energy and Utilities,Energy Efficiency,LED Lamps
931,Energy and Utilities,Energy Management Subcategory,Energy Market
932,Energy and Utilities,Energy Management Subcategory,Advanced Distribution Automation
933,Energy and Utilities,Energy Management Subcategory,Energy Transformation
934,Energy and Utilities,Energy Management Subcategory,Energy Policy
935,Energy and Utilities,Energy Management Subcategory,Energy Production
936,Energy and Utilities,Energy Management Subcategory,Smart Meter Systems
937,Energy and Utilities,Energy Management Subcategory,Energy Supply
938,Energy and Utilities,Energy Management Subcategory,Energy Management
939,Energy and Utilities,Energy Management Subcategory,Energy Conversion
940,Energy and Utilities,Energy Management Subcategory,Transmission System Operator
941,Energy and Utilities,Energy Management Subcategory,Energy Transport
942,Energy and Utilities,Nuclear Energy,Nuclear Power
943,Energy and Utilities,Nuclear Energy,Nuclear Engineering
944,Energy and Utilities,Nuclear Energy,Nuclear Safety
945,Energy and Utilities,Nuclear Energy,Nuclear Reactor
946,Energy and Utilities,Nuclear Energy,Nuclear Fuel
947,Energy and Utilities,Nuclear Energy,Nuclear Fuel Cycle
948,Energy and Utilities,Oil and Gas Subcategory,Quorum
949,Energy and Utilities,Oil and Gas Subcategory,Oil Pipelines
950,Energy and Utilities,Oil and Gas Subcategory,Oil And Gas
951,Energy and Utilities,Oil and Gas Subcategory,Fossil Fuel
952,Energy and Utilities,Power Generation,Electric Generators
953,Energy and Utilities,Power Generation,Turbines
954,Energy and Utilities,Power Generation,Cogeneration
955,Energy and Utilities,Power Generation,Enthalpy
956,Energy and Utilities,Power Generation,Fuel Cells
957,Energy and Utilities,Solar Energy Subcategory,Photovoltaics
958,Energy and Utilities,Solar Energy Subcategory,Solar Cells
959,Energy and Utilities,Solar Energy Subcategory,Solar Systems
960,Energy and Utilities,Solar Energy Subcategory,Photodetector
961,Energy and Utilities,Solar Energy Subcategory,Photovoltaic Systems
962,Energy and Utilities,Solar Energy Subcategory,Solar Energy
963,Energy and Utilities,Water Energy,Hydropower
964,Energy and Utilities,"Water Supply, Testing, and Treatment",Water Supply Networks
965,Energy and Utilities,"Water Supply, Testing, and Treatment",Water Chemistry Analysis
966,Energy and Utilities,"Water Supply, Testing, and Treatment",Water Consumption
967,Energy and Utilities,"Water Supply, Testing, and Treatment",Activated Sludge Treatment
968,Energy and Utilities,"Water Supply, Testing, and Treatment",EPANET
969,Energy and Utilities,"Water Supply, Testing, and Treatment",Sedimentation
970,Energy and Utilities,"Water Supply, Testing, and Treatment",Water Wells
971,Energy and Utilities,"Water Supply, Testing, and Treatment",Sewage Collection And Disposal
972,Energy and Utilities,"Water Supply, Testing, and Treatment",Wastewater
973,Energy and Utilities,"Water Supply, Testing, and Treatment",Sewage Treatments
974,Energy and Utilities,"Water Supply, Testing, and Treatment",Water Treatment
975,Energy and Utilities,"Water Supply, Testing, and Treatment",Water Quality
976,Energy and Utilities,"Water Supply, Testing, and Treatment",Sanitary Sewer
977,Energy and Utilities,"Water Supply, Testing, and Treatment",Water Distribution
978,Energy and Utilities,"Water Supply, Testing, and Treatment",Sewage
979,Energy and Utilities,Wind Energy,Wind Power
980,Engineering,Aerospace Engineering Subcategory,Launch Vehicle Systems
981,Engineering,Aerospace Engineering Subcategory,Space Exploration
982,Engineering,Aerospace Engineering Subcategory,Space Flight
983,Engineering,Aerospace Engineering Subcategory,Aerospace Engineering
984,Engineering,Aerospace Engineering Subcategory,Space Environment
985,Engineering,Aerospace Engineering Subcategory,Spacecraft
986,Engineering,Aerospace Engineering Subcategory,Space Stations
987,Engineering,Aerospace Engineering Subcategory,Aerodynamics
988,Engineering,Aerospace Engineering Subcategory,Aircraft Design
989,Engineering,Aerospace Engineering Subcategory,Unmanned Aerial Systems (UAS)
990,Engineering,Aerospace Engineering Subcategory,Spacecraft Propulsion
991,Engineering,Aerospace Engineering Subcategory,Orbital Mechanics
992,Engineering,Automation Engineering,Systems Controls
993,Engineering,Automation Engineering,Motion Control Systems
994,Engineering,Automation Engineering,Home Automation
995,Engineering,Automation Engineering,Manufacturing Automation
996,Engineering,Automotive Technologies,Automotive Engineering
997,Engineering,Automotive Technologies,Electric Vehicles
998,Engineering,Automotive Technologies,Transmission
999,Engineering,Automotive Technologies,Autonomous Vehicles
1000,Engineering,Automotive Technologies,Advanced Driver Assistance Systems
1001,Engineering,Automotive Technologies,Powertrain
1002,Engineering,Chemical and Biomedical Engineering,Chemical Thermodynamics
1003,Engineering,Chemical and Biomedical Engineering,Chemical Engineering
1004,Engineering,Chemical and Biomedical Engineering,Biomedical Engineering
1005,Engineering,Chemical and Biomedical Engineering,Mass Transfer
1006,Engineering,Circuitry,Electronic Circuit Simulation
1007,Engineering,Circuitry,Electronic Circuits
1008,Engineering,Circuitry,Capacitors
1009,Engineering,Circuitry,Logic Simulation
1010,Engineering,Circuitry,Resistors
1011,Engineering,Circuitry,Circuit Theory
1012,Engineering,Circuitry,Electrical Circuit Analysis
1013,Engineering,Circuitry,Integrated Circuits
1014,Engineering,Circuitry,Circuit Design
1015,Engineering,Circuitry,Thyristors
1016,Engineering,Circuitry,Integrated Circuit Design
1017,Engineering,Circuitry,Transistor
1018,Engineering,Circuitry,Virtuoso
1019,Engineering,Circuitry,Short Circuits
1020,Engineering,Circuitry,Current Source
1021,Engineering,Circuitry,Complementary Metal Oxide Semiconductor (CMOS)
1022,Engineering,Civil and Architectural Engineering,Seismic Analysis
1023,Engineering,Civil and Architectural Engineering,Land Development
1024,Engineering,Civil and Architectural Engineering,Traffic Engineering
1025,Engineering,Civil and Architectural Engineering,Site Planning
1026,Engineering,Civil and Architectural Engineering,Structural Materials
1027,Engineering,Civil and Architectural Engineering,Hydraulic Engineering
1028,Engineering,Civil and Architectural Engineering,Structural Mechanics
1029,Engineering,Civil and Architectural Engineering,Stress Testing
1030,Engineering,Civil and Architectural Engineering,Steel Design
1031,Engineering,Civil and Architectural Engineering,Roadway Design
1032,Engineering,Civil and Architectural Engineering,Structural Calculations
1033,Engineering,Civil and Architectural Engineering,Built Environment
1034,Engineering,Civil and Architectural Engineering,Transport Engineering
1035,Engineering,Civil and Architectural Engineering,Grading (Landscape)
1036,Engineering,Civil and Architectural Engineering,Public Works
1037,Engineering,Civil and Architectural Engineering,Architectural Engineering
1038,Engineering,Civil and Architectural Engineering,Forensic Engineering
1039,Engineering,Civil and Architectural Engineering,Civil Engineering
1040,Engineering,Civil and Architectural Engineering,Structural Engineering
1041,Engineering,Civil and Architectural Engineering,Municipal Or Urban Engineering
1042,Engineering,Civil and Architectural Engineering,Structural Analysis
1043,Engineering,Civil and Architectural Engineering,Structural Systems
1044,Engineering,Civil and Architectural Engineering,Railway Engineering
1045,Engineering,Civil and Architectural Engineering,Construction Engineering
1046,Engineering,Civil and Architectural Engineering,HEC-RAS
1047,Engineering,Civil and Architectural Engineering,Buckling
1048,Engineering,Drafting and Engineering Design,Computational Design
1049,Engineering,Drafting and Engineering Design,Autodesk 3DS Max (3D Graphics Software)
1050,Engineering,Drafting and Engineering Design,Autodesk
1051,Engineering,Drafting and Engineering Design,Engineering Design Process
1052,Engineering,Drafting and Engineering Design,Technical Drawing
1053,Engineering,Drafting and Engineering Design,Blueprinting
1054,Engineering,Drafting and Engineering Design,Solid Modeling
1055,Engineering,Drafting and Engineering Design,AutoCAD
1056,Engineering,Drafting and Engineering Design,Modular Design
1057,Engineering,Drafting and Engineering Design,Parametric Modeling
1058,Engineering,Drafting and Engineering Design,Conceptual Design
1059,Engineering,Drafting and Engineering Design,Digital Modeling And Fabrication
1060,Engineering,Drafting and Engineering Design,Design Specifications
1061,Engineering,Drafting and Engineering Design,Computer-Aided Design
1062,Engineering,Drafting and Engineering Design,Engineering Drawings
1063,Engineering,Drafting and Engineering Design,SolidWorks (CAD)
1064,Engineering,Drafting and Engineering Design,Integrated Design
1065,Engineering,Drafting and Engineering Design,Freeform (Design Tool)
1066,Engineering,Electrical and Computer Engineering,Logic Synthesis
1067,Engineering,Electrical and Computer Engineering,Low Voltage
1068,Engineering,Electrical and Computer Engineering,High Voltage
1069,Engineering,Electrical and Computer Engineering,Waves (Electronics)
1070,Engineering,Electrical and Computer Engineering,Zigbee
1071,Engineering,Electrical and Computer Engineering,Electromagnetic Waveguides
1072,Engineering,Electrical and Computer Engineering,Semiconductor Memory
1073,Engineering,Electrical and Computer Engineering,Electrical Engineering
1074,Engineering,Electrical and Computer Engineering,Inductors
1075,Engineering,Electrical and Computer Engineering,Modulation
1076,Engineering,Electrical and Computer Engineering,Pulse-Width Modulation
1077,Engineering,Electrical and Computer Engineering,Statistical Signal Processing
1078,Engineering,Electrical and Computer Engineering,Electronic Systems
1079,Engineering,Electrical and Computer Engineering,Control Engineering
1080,Engineering,Electrical and Computer Engineering,Function Block Diagram
1081,Engineering,Electrical and Computer Engineering,Control Systems
1082,Engineering,Electrical and Computer Engineering,Three-Phase
1083,Engineering,Electrical and Computer Engineering,Broadcast Engineering
1084,Engineering,Electrical and Computer Engineering,Feedback Control
1085,Engineering,Electrical and Computer Engineering,Electrical Parameters
1086,Engineering,Electrical and Computer Engineering,Semiconductor Device
1087,Engineering,Electrical and Computer Engineering,Operational Amplifier
1088,Engineering,Electrical and Computer Engineering,Power Engineering
1089,Engineering,Electrical and Computer Engineering,Computer Engineering
1090,Engineering,Electrical and Computer Engineering,Physical Design
1091,Engineering,Electrical and Computer Engineering,Electrical Resistivity And Conductivity
1092,Engineering,Electrical and Computer Engineering,Cathode Ray (Electromagnetism)
1093,Engineering,Electrical and Computer Engineering,Field-Programmable Gate Array (FPGA)
1094,Engineering,Electrical and Computer Engineering,Rectifier
1095,Engineering,Electromechanical Engineering,Electromechanics
1096,Engineering,Electronic Hardware,Electronic Control Unit
1097,Engineering,Electronic Hardware,Electronic Components
1098,Engineering,Electronic Hardware,CPU Design
1099,Engineering,Electronics Engineering,Impedance Matching
1100,Engineering,Electronics Engineering,Digital Electronics
1101,Engineering,Electronics Engineering,Light-Emitting Diode
1102,Engineering,Electronics Engineering,Electronic Design
1103,Engineering,Electronics Engineering,Electronics
1104,Engineering,Electronics Engineering,Electronic Engineering
1105,Engineering,Electronics Engineering,Analog Electronics
1106,Engineering,Engineering Practices,Engineering Management
1107,Engineering,Engineering Practices,Project Engineering
1108,Engineering,Engineering Practices,Concurrent Engineering
1109,Engineering,Engineering Practices,Engineering Ethics
1110,Engineering,Engineering Practices,Requirements Engineering
1111,Engineering,Engineering Practices,Fatigue (Material)
1112,Engineering,Engineering Practices,Model Based Systems Engineering
1113,Engineering,Engineering Software,Arduino
1114,Engineering,"Engineering, Scientific, and Technical Instruments",Inertial Navigation Systems
1115,Engineering,"Engineering, Scientific, and Technical Instruments",Mechanical Probe Station
1116,Engineering,"Engineering, Scientific, and Technical Instruments",Magneto
1117,Engineering,"Engineering, Scientific, and Technical Instruments",Instrumentation
1118,Engineering,"Engineering, Scientific, and Technical Instruments",Oscilloscope
1119,Engineering,Geological Engineering,Structural Geology
1120,Engineering,Geological Engineering,Engineering Geology
1121,Engineering,Geological Engineering,Directional Drilling
1122,Engineering,Geological Engineering,Infiltration (Of Water)
1123,Engineering,Geological Engineering,Field Capacity
1124,Engineering,Geological Engineering,Erosions
1125,Engineering,Geological Engineering,Geotechnical Engineering
1126,Engineering,Geological Engineering,Unconventional Oil
1127,Engineering,Geological Engineering,HEC-HMS (Hydrologic Modeling System)
1128,Engineering,Geological Engineering,Soil Compaction
1129,Engineering,Geological Engineering,Soil Stabilization
1130,Engineering,Geological Engineering,Geomechanics
1131,Engineering,Geological Engineering,Dewatering
1132,Engineering,Geological Engineering,Petroleum Engineering
1133,Engineering,Geological Engineering,Soil Mechanics
1134,Engineering,Geological Engineering,MODFLOW
1135,Engineering,Geological Engineering,Levees
1136,Engineering,Hardware Description Languages (HDL),Verilog
1137,Engineering,Hardware Description Languages (HDL),Hardware Description Language (HDL)
1138,Engineering,Imaging,Remote Sensing
1139,Engineering,Imaging,Digital Image Processing
1140,Engineering,Imaging,Image Sensor
1141,Engineering,Imaging,Laser Scanning
1142,Engineering,Imaging,Light Detection And Ranging (LiDAR)
1143,Engineering,Imaging,Image Processing
1144,Engineering,Industrial Engineering Subcategory,Engineering Psychology
1145,Engineering,Industrial Engineering Subcategory,Industrialization
1146,Engineering,Industrial Engineering Subcategory,Process Capability
1147,Engineering,Industrial Engineering Subcategory,Human Factors Engineering
1148,Engineering,Industrial Engineering Subcategory,Industrial Engineering
1149,Engineering,Industrial Engineering Subcategory,Autonomation
1150,Engineering,Materials Science and Engineering,Polymer Chemistry
1151,Engineering,Materials Science and Engineering,Compound Semiconductor
1152,Engineering,Materials Science and Engineering,Ultrasonic Testing
1153,Engineering,Materials Science and Engineering,Surface Science
1154,Engineering,Materials Science and Engineering,Nanotechnology
1155,Engineering,Materials Science and Engineering,Chemical Vapor Deposition
1156,Engineering,Materials Science and Engineering,Destructive Testing
1157,Engineering,Materials Science and Engineering,Non-Destructive Testing (NDT)
1158,Engineering,Materials Science and Engineering,Materials Science
1159,Engineering,Materials Science and Engineering,Material Characterization
1160,Engineering,Materials Science and Engineering,Biomaterial
1161,Engineering,Materials Science and Engineering,Materials Testing
1162,Engineering,Materials Science and Engineering,Composite Materials
1163,Engineering,Materials Science and Engineering,Composites
1164,Engineering,Materials Science and Engineering,Semiconductor Materials
1165,Engineering,Materials Science and Engineering,Materials Engineering
1166,Engineering,Materials Science and Engineering,Metallurgy
1167,Engineering,Materials Science and Engineering,Refining
1168,Engineering,Materials Science and Engineering,Nanoscopic Scale
1169,Engineering,Mechanical Engineering Subcategory,Mechatronics
1170,Engineering,Mechanical Engineering Subcategory,Fluid Mechanics
1171,Engineering,Mechanical Engineering Subcategory,Machinery Design
1172,Engineering,Mechanical Engineering Subcategory,Mechanics
1173,Engineering,Mechanical Engineering Subcategory,Fluid Dynamics
1174,Engineering,Mechanical Engineering Subcategory,Modal Analysis
1175,Engineering,Mechanical Engineering Subcategory,Vibrations
1176,Engineering,Mechanical Engineering Subcategory,Deformation
1177,Engineering,Mechanical Engineering Subcategory,Heat Transfer
1178,Engineering,Mechanical Engineering Subcategory,Finite Element Methods
1179,Engineering,Mechanical Engineering Subcategory,Displacement (Fluid)
1180,Engineering,Mechanical Engineering Subcategory,Torque (Physics)
1181,Engineering,Mechanical Engineering Subcategory,Thermodynamic Systems
1182,Engineering,Mechanical Engineering Subcategory,Pressure Vessel
1183,Engineering,Mechanical Engineering Subcategory,Propulsion
1184,Engineering,Mechanical Engineering Subcategory,Computational Fluid Dynamics
1185,Engineering,Mechanical Engineering Subcategory,Thermal Management
1186,Engineering,Mechanical Engineering Subcategory,Hydraulics
1187,Engineering,Mechanical Engineering Subcategory,Solid Mechanics
1188,Engineering,Mechanical Engineering Subcategory,Linear Motion
1189,Engineering,Mechanical Engineering Subcategory,Mechanical Engineering
1190,Engineering,Mechanical Engineering Subcategory,Boundary Layer
1191,Engineering,Mechanical Engineering Subcategory,Gas Dynamics
1192,Engineering,Mechanical Engineering Subcategory,Engineering Statics
1193,Engineering,Mechanical Engineering Subcategory,Thermal Design
1194,Engineering,Mechanical Engineering Subcategory,Kinematics
1195,Engineering,Mechanical Engineering Subcategory,Fracture Mechanics
1196,Engineering,Mining Engineering,Gold Mining
1197,Engineering,Optical Engineering Subcategory,Ray Tracing
1198,Engineering,Optical Engineering Subcategory,Optical Engineering
1199,Engineering,Optical Engineering Subcategory,Geometrical Optics
1200,Engineering,Optical Engineering Subcategory,Optical Communication
1201,Engineering,Optical Engineering Subcategory,Optoelectronics
1202,Engineering,Optical Engineering Subcategory,Optical Devices
1203,Engineering,Optical Engineering Subcategory,Optics
1204,Engineering,Optical Engineering Subcategory,Physical Optics
1205,Engineering,Optical Engineering Subcategory,Fiber-Optic Communications
1206,Engineering,Optical Engineering Subcategory,Photonics
1207,Engineering,Process Engineering Subcategory,Process Engineering
1208,Engineering,Process Engineering Subcategory,Industrial Control Systems
1209,Engineering,Process Engineering Subcategory,Process Control
1210,Engineering,Process Engineering Subcategory,Process Simulation
1211,Engineering,Process Engineering Subcategory,Process Manufacturing
1212,Engineering,Process Engineering Subcategory,Statistical Process Controls
1213,Engineering,Radio Frequency (RF),Transceiver
1214,Engineering,Radio Frequency (RF),Antenna
1215,Engineering,Radio Frequency (RF),Frequency Domain
1216,Engineering,Radio Frequency (RF),Radio-Frequency Identification
1217,Engineering,Radio Frequency (RF),Microwaves
1218,Engineering,Radio Frequency (RF),Radio Frequency
1219,Engineering,Roads and Drainage,Road Safety Audits
